DATETIME,COUNT,TYPE,LAMBDA_1,LAMBDA_2,LAMBDA_3,NH,NL,Nth,100_T_cel,T_cel,TSG,NMEA
2021/12/02 15:14:30 ,0,Blanc_pH,772,5170,2949,3735,4587,4587,1958,28.28,,nan
2021/12/02 15:14:30 ,0,Blanc_pH,772,5170,2949,3735,4587,4587,1958,28.28,,nan
2021/12/02 15:14:30 ,0,Blanc_pH,772,5170,2949,3735,4587,4587,1958,28.28,,nan
2021/12/02 15:14:30 ,0,Mesure_pH,772,5170,2949,3735,4587,4587,1958,28.28,,nan
2021/12/02 15:14:30 ,0,Mesure_pH,772,5170,2949,3735,4587,4587,1958,28.28,,nan
2021/12/02 15:14:30 ,0,Mesure_pH,772,5170,2949,3735,4587,4587,1958,28.28,,nan
2021/12/02 15:14:30 ,0,Mesure_pH,772,5170,2949,3735,4587,4587,1958,28.28,,nan
2021/12/02 15:14:30 ,0,Mesure_pH,772,5170,2949,3735,4587,4587,1958,28.28,,nan
2021/12/02 15:14:30 ,0,Mesure_pH,772,5170,2949,3735,4587,4587,1958,28.28,,nan
2021/12/02 15:14:30 ,0,Mesure_pH,772,5170,2949,3735,4587,4587,1958,28.28,,nan
2021/12/02 15:14:30 ,0,Mesure_pH,772,5170,2949,3735,4587,4587,1958,28.28,,nan
2021/12/02 15:14:30 ,0,Mesure_pH,772,5170,2949,3735,4587,4587,1958,28.28,,nan
2021/12/02 15:14:30 ,0,Mesure_pH,772,5170,2949,3735,4587,4587,1958,28.28,,nan
2021/12/02 15:14:30 ,0,Mesure_pH,772,5170,2949,3735,4587,4587,1958,28.28,,nan
2021/12/02 15:14:30 ,0,Mesure_pH,772,5170,2949,3735,4587,4587,1958,28.28,,nan
2021/12/02 15:14:31 ,1,Blanc_pH,772,5170,2949,3735,4587,4587,1958,28.28,,nan
2021/12/02 15:14:31 ,1,Blanc_pH,772,5170,2949,3735,4587,4587,1958,28.28,,nan
2021/12/02 15:14:31 ,1,Blanc_pH,772,5170,2949,3735,4587,4587,1958,28.28,,nan
2021/12/02 15:14:31 ,1,Mesure_pH,772,5170,2949,3735,4587,4587,1958,28.28,,nan
2021/12/02 15:14:31 ,1,Mesure_pH,772,5170,2949,3735,4587,4587,1958,28.28,,nan
2021/12/02 15:14:31 ,1,Mesure_pH,772,5170,2949,3735,4587,4587,1958,28.28,,nan
2021/12/02 15:14:31 ,1,Mesure_pH,772,5170,2949,3735,4587,4587,1958,28.28,,nan
2021/12/02 15:14:31 ,1,Mesure_pH,772,5170,2949,3735,4587,4587,1958,28.28,,nan
2021/12/02 15:14:31 ,1,Mesure_pH,772,5170,2949,3735,4587,4587,1958,28.28,,nan
2021/12/02 15:14:31 ,1,Mesure_pH,772,5170,2949,3735,4587,4587,1958,28.28,,nan
2021/12/02 15:14:31 ,1,Mesure_pH,772,5170,2949,3735,4587,4587,1958,28.28,,nan
2021/12/02 15:14:31 ,1,Mesure_pH,772,5170,2949,3735,4587,4587,1958,28.28,,nan
2021/12/02 15:14:31 ,1,Mesure_pH,772,5170,2949,3735,4587,4587,1958,28.28,,nan
2021/12/02 15:14:31 ,1,Mesure_pH,772,5170,2949,3735,4587,4587,1958,28.28,,nan
2021/12/02 15:14:31 ,1,Mesure_pH,772,5170,2949,3735,4587,4587,1958,28.28,,nan
2021/12/02 15:14:32 ,2,Blanc_pH,772,5170,2949,3735,4587,4587,1958,28.28,,nan
2021/12/02 15:14:32 ,2,Blanc_pH,772,5170,2949,3735,4587,4587,1958,28.28,,nan
2021/12/02 15:14:32 ,2,Blanc_pH,772,5170,2949,3735,4587,4587,1958,28.28,,nan
2021/12/02 15:14:32 ,2,Mesure_pH,772,5170,2949,3735,4587,4587,1958,28.28,,nan
2021/12/02 15:14:32 ,2,Mesure_pH,772,5170,2949,3735,4587,4587,1958,28.28,,nan
2021/12/02 15:14:32 ,2,Mesure_pH,772,5170,2949,3735,4587,4587,1958,28.28,,nan
2021/12/02 15:14:32 ,2,Mesure_pH,772,5170,2949,3735,4587,4587,1958,28.28,,nan
2021/12/02 15:14:32 ,2,Mesure_pH,772,5170,2949,3735,4587,4587,1958,28.28,,nan
2021/12/02 15:14:32 ,2,Mesure_pH,772,5170,2949,3735,4587,4587,1958,28.28,,nan
2021/12/02 15:14:32 ,2,Mesure_pH,772,5170,2949,3735,4587,4587,1958,28.28,,nan
2021/12/02 15:14:32 ,2,Mesure_pH,772,5170,2949,3735,4587,4587,1958,28.28,,nan
2021/12/02 15:14:32 ,2,Mesure_pH,772,5170,2949,3735,4587,4587,1958,28.28,,nan
2021/12/02 15:14:32 ,2,Mesure_pH,772,5170,2949,3735,4587,4587,1958,28.28,,nan
2021/12/02 15:14:32 ,2,Mesure_pH,772,5170,2949,3735,4587,4587,1958,28.28,,nan
2021/12/02 15:14:32 ,2,Mesure_pH,772,5170,2949,3735,4587,4587,1958,28.28,,nan
2021/12/02 15:14:33 ,3,Blanc_pH,772,5170,2949,3735,4587,4587,1958,28.28,,nan
2021/12/02 15:14:33 ,3,Blanc_pH,772,5170,2949,3735,4587,4587,1958,28.28,,nan
2021/12/02 15:14:33 ,3,Blanc_pH,772,5170,2949,3735,4587,4587,1958,28.28,,nan
2021/12/02 15:14:33 ,3,Mesure_pH,772,5170,2949,3735,4587,4587,1958,28.28,,nan
2021/12/02 15:14:33 ,3,Mesure_pH,772,5170,2949,3735,4587,4587,1958,28.28,,nan
2021/12/02 15:14:33 ,3,Mesure_pH,772,5170,2949,3735,4587,4587,1958,28.28,,nan
2021/12/02 15:14:33 ,3,Mesure_pH,772,5170,2949,3735,4587,4587,1958,28.28,,nan
2021/12/02 15:14:33 ,3,Mesure_pH,772,5170,2949,3735,4587,4587,1958,28.28,,nan
2021/12/02 15:14:33 ,3,Mesure_pH,772,5170,2949,3735,4587,4587,1958,28.28,,nan
2021/12/02 15:14:33 ,3,Mesure_pH,772,5170,2949,3735,4587,4587,1958,28.28,,nan
2021/12/02 15:14:33 ,3,Mesure_pH,772,5170,2949,3735,4587,4587,1958,28.28,,nan
2021/12/02 15:14:33 ,3,Mesure_pH,772,5170,2949,3735,4587,4587,1958,28.28,,nan
2021/12/02 15:14:33 ,3,Mesure_pH,772,5170,2949,3735,4587,4587,1958,28.28,,nan
2021/12/02 15:14:33 ,3,Mesure_pH,772,5170,2949,3735,4587,4587,1958,28.28,,nan
2021/12/02 15:14:33 ,3,Mesure_pH,772,5170,2949,3735,4587,4587,1958,28.28,,nan
2021/12/02 15:14:34 ,4,Blanc_pH,772,5170,2949,3735,4587,4587,1958,28.28,,nan
2021/12/02 15:14:34 ,4,Blanc_pH,772,5170,2949,3735,4587,4587,1958,28.28,,nan
2021/12/02 15:14:34 ,4,Blanc_pH,772,5170,2949,3735,4587,4587,1958,28.28,,nan
2021/12/02 15:14:34 ,4,Mesure_pH,772,5170,2949,3735,4587,4587,1958,28.28,,nan
2021/12/02 15:14:34 ,4,Mesure_pH,772,5170,2949,3735,4587,4587,1958,28.28,,nan
2021/12/02 15:14:34 ,4,Mesure_pH,772,5170,2949,3735,4587,4587,1958,28.28,,nan
2021/12/02 15:14:34 ,4,Mesure_pH,772,5170,2949,3735,4587,4587,1958,28.28,,nan
